src,tgr
他被人发现倒在厨房的地板上，不省人事。,He was found lying unconscious on the kitchen floor.
我對他們的關係一無所知。,I don't know anything about their relationship.
终于不下雨了。,At last it's stopped raining.
一个丑男人敲了我的门。,An ugly man knocked on my door.
這讓我憤怒。,This makes me angry.
我是一名電工。,I'm an electrician.
我三点钟来接你。,I'll come and pick you up at three.
我不認為他會來。,I don't think that he will come.
我能听见鸟在窗外歌唱。,I could hear birds singing outside my window.
你有多少钱？,How much money have you got?
他們非常大。,They are very big.
他成為了一個鋼琴家。,He became a pianist.
我担心你會跟我們一樣忙。,I wonder if you are as busy as we are.
和你的车比起来，我的车很小。,"Compared to yours, my car is small."
根據氣象預報，明天會是晴天。,The weather forecast says it will be fine tomorrow.
我做了点改动。,I made a few modifications.
真奇怪。,How curious!
多少錢？,What does it cost?
我聽到了。,I heard it.
这不实用。,It's not practical.
他怕得到肺癌。,He is afraid of getting lung cancer.
我不喜歡電影。,I don't like movies.
你只有两个选项。,You only have two options.
你最好检查一下这个。,You'd better check this out.
她想在医院工作。,She wants to work at the hospital.
你說你叫什麼名字？,What did you say your name was?
汤姆掌握了三种语言。,Tom is fluent in three languages.
我差点从悬崖上掉下去。,I nearly fell off the cliff.
那是丛林狼吗？,Is that a coyote?
你在你的床下面藏了多少钱？,How much money do you have hidden under your bed?
汤姆必须提醒玛丽喂狗。,Tom had to remind Mary to feed the dog.
几乎每个人都来了。,Almost everyone came.
他們的小嬰孩已經會走路了。,Their baby is able to walk already.
我頭疼得厲害。,I have a bad headache.
我不能相信你愛我。,I can't believe you love me.
汤姆求我让他早点回家。,Tom begged me to let him go home early.
她來這裡放鬆的嗎？,Did she come here to relax?
他們突然哭了。,They burst into tears.
知识就是力量。,Knowledge is power.
汤姆觉得他有机会在股市赚一大笔钱。,Tom thought he had a chance to make a lot of money on the stock market.
他藏到一个大石头后面了。,He hid himself behind a large rock.
它是由湯姆發現的。,It was discovered by Tom.
但願你那時候就告訴我真相。,I wish you had told me the truth then.
我的航班晚点了。,My flight was delayed.
我确信我们会找到解决办法的。,I'm sure we'll find a solution.
如果明天下雨，我们就呆在家。,"If it rains tomorrow, we'll stay at home."
他這個人很難相處。,He is hard to get along with.
你有其他家人吗？,Do you have other family?
他们把他奉为领袖。,They looked up to him as their leader.
好运向他露出了笑容。,Fortune smiled on him.
你在这里高兴吗？,Are you happy here?
你会找到工作的。,You'll find a job.
我通常在晚上洗澡。,I usually take a shower in the evening.
麻煩再一瓶葡萄酒。,"Another bottle of wine, please."
我不想再听到其他借口了。,I don't want to hear any more excuses.
人皆有錯，唯聖者能恕。,"To err is human, to forgive divine."
在音樂會中說話是不禮貌的。,Talking during a concert is rude.
汤姆在吹嘘。,Tom is exaggerating.
汤姆(Tom)留短发,Tom has short hair.
他從去年二月開始就沒寫信給我們。,He has not written to us since last February.
現在長裙過時了。,Long skirts are out of fashion now.
你得留意一下。,You must keep your eyes open.
我在那匹馬下十美元的賭注。,I bet ten dollars on that horse.
你能從那裡看到房頂。,You can see the roof of the house from there.
令我驚訝的是，門沒上鎖。,"To my surprise, the door was unlocked."
我喜歡運動。,I like playing sports.
到了那兒之後跟我說一聲兒。,Drop me a line as soon as you get there.
你一定是开玩笑！,You've got to be joking.
在我手裡的是一個貝殼化石。,What I have in my hand is a fossil seashell.
我會把你的手提箱拿到你的房間。,I'll take your suitcase to your room.
把那幅画挂到墙上。,Hang that picture on the wall.
你在掩饰什么？,What are you hiding?
当我是个孩子的时候，我会把大部分时间都用于室内阅读。,"When I was a child, I spent most of my time indoors reading."
你准备好了吗？,Are you ready?
你想再來些蛋糕嗎？,Would you like some more cake?
离这里还远吗？,Is it still far from here?
我是个大学生。,I'm a student in a university.
他使他儿子成了个有钱人。,He made his son a wealthy man.
年轻人伸出他的手，接着我和他握了手。,The young man put out his hand and I shook it.
我认为我能跑得跟汤姆一样快。,I think I can run as fast as Tom.
我可以等你。,I can wait for you.
這些火車每三分鐘發車。,Those trains run every three minutes.
请帮我叫宾馆保安。,Please get me hotel security.
月亮已經出來了。,The moon is already out.
您允许我去吗？,Will you permit me to go there?
把你们的帽子摘下来。,Take your hats off.
这么着急干什么。,What's the rush?
我甚至不知道湯姆離開了。,I didn't even know Tom had left.
我們有時會見到他們。,We sometimes meet them.
他試圖自殺。,He tried to kill himself.
汤姆是班里唯一的男生。,Tom was the only boy in the entire class.
永远不要说永远。,Never say never.
一时间我还以为他疯了。,"For a moment there, I thought he had gone mad."
我不知道他今晚會不會來。,I wonder if he'll come tonight.
我嚼口香糖。,I chew gum.
那可憐的孩子快餓死了。,The poor child was on the verge of starvation.
汤姆从人群中拥出来。,Tom pushed his way through the crowd.
我們沒有必要出席這個講座。,It is not necessary for us to attend this lecture.
我做完了所有的回家作業。,All my homework is done.
回家吧。,Go on home.
你還在收集郵票嗎？,Are you still collecting stamps?
他開始吃他的早餐了。,He began to eat his breakfast.
我们还有许多别的事情要讨论。,We still have many other things to discuss.
大家好嗎？,How is everybody doing?
还有什么比友情更好呢？,What is better than friendship?
我設法及時到那裡。,I managed to get there in time.
他喜欢冒险。,He likes adventure.
汤姆是不是有点醉了？,"Tom is a little drunk, isn't he?"
對事情比較正經嚴肅。,Take things a little more seriously.
我勸你戒酒。,I advise you to give up drinking.
你們別和任何人說。,Don't speak to anyone.
她招呼我进来。,She beckoned me to come in.
他被他的邻居们愚弄了。,He was made a fool of by his neighbors.
如果我没忘了的话，我会叫汤姆做那件事。,I'll tell Tom to do that if I don't forget.
医生决定立刻动手术。,The doctor decided to operate at once.
湯姆知道你知道。,Tom knows you know.
那是我在这里的另外一个理由。,That's the other reason I'm here.
她消失了。,She disappeared.
她做什么工作？,What's her job?
第二天我的腿很酸。,I had sore legs the next day.
她穿這套紅色的洋裝很好看。,The red dress looked good on her.
她试过了。,She tried.
你的履歷給我留下深刻的印象。,Your CV has really impressed me.
很棒！,Wonderful!
給湯姆活路！,Let Tom live.
每个人都很困惑,Everybody was confused.
讓我送你到車站吧。,Let me give you a lift as far as the station.
我必須把文身去掉。,I had to get my tattoo removed.
他試著想讓他妻子開心，但是沒有成功。,"He tried to make his wife happy, but in vain."
她經常上學遲到。,She was frequently late for school.
我的收入減少了百分之十。,My income has decreased ten percent.
我祖母很老了。,My grandmother is very old.
我真喜欢阅读。,I really like to read.
我觉得您过火了。,I think you went too far.
可以便宜點嗎？,Can you lower the price?
你流利的英语让我很吃惊。,I'm amazed at your fluency in English.
停止发牢骚吧。,Stop grumbling.
晚饭后我洗了碗碟。,"After supper, I washed the dishes."
我被烦死了。,I was quite annoyed.
祝贺你。,Congratulations!
人孔是圓的，因為這樣人孔蓋就不會意外地掉進洞裡。,Manholes are round because that way they won't accidentally fall through the hole.
從現在起，更加努力。,"From now on, try harder."
没发生什么特别的事。,Nothing special happened.
汤姆在哪儿？,Where's Tom?
我们没有失望。,We haven't lost hope.
你身上有很多钱吗？,Do you have a lot of money on you?
我跟那些高個子的女孩很熟稔。,I know those tall girls quite well.
我想让你明白为啥你必须这么做。,I want you to understand why you have to do this.
那个是我的。我不知道你的在哪里。,That's mine. I don't know where yours is.
你是退出的那一個。,You're the one who quit.
你能告訴我我的選項是甚麼嗎？,Could you tell me what my choices are?
富人有时会看不起穷人。,The rich sometimes despise the poor.
它不是黑色的嗎？,Isn't it black?
你在找工作吗？,Are you looking for work?
我有點累。,I'm a little tired.
我的鼻子好癢。,My nose is itchy.
他很聪明，而且他很帅。,"He's very smart, and he's handsome too."
我那時還是個外行。,I was still an amateur at that time.
我们在沙滩上起了火。,We built a fire on the beach.
你感觉得到它吗？,Can you feel it?
我刚刚见到汤姆了。,I just saw Tom.
我们有自己的问题要解决。,We have our own problems to solve.
你沒有干涉他人事務的權力。,You have no right to interfere in other people's affairs.
你無法為湯姆做甚麼。,There's nothing you can do for Tom.
没什么能阻止你出发了。,There's nothing to prevent you from going.
我必須向Tom解釋這個。,I have to explain this to Tom.
我告诉过你不要再来这里了。,I told you never to come here again.
汤姆总是旷课。,Tom is always absent.
听着，我要跑了。,"Listen, I've got to run."
不要放棄!,Don't give up!
誰畫的？,Who drew it?
洗你的脚。,Wash your feet.
湯姆是個无賴。,Tom is a scumbag.
她的樣子在說她愛你。,Her look says that she loves you.
那聞起來像奶酪。,That smells like cheese.
她對我很和善。,She's nice to me.
她心情不好。,She is upset.
我要更多詳細的訊息。,I want more detailed information.
英语有很多法语外来词。,English has many loan words from French.
我们得到了在这个海湾内捕鱼的特权。,We were granted the privilege of fishing in this bay.
知道如何使用电脑对我们来说变得很重要。,It is becoming important for us to know how to use a computer.
除了汤姆以外任何人都知道他没必要这么做。,Everybody except Tom knew he didn't need to do that.
這張票的有效期是三天。,This ticket is good for three days.
請先為他上菜。,Please serve him his meal first.
她是谁？,Who's she?
我剛剛完成我的作業。,I have just finished my homework.
我不想聽湯姆唱歌。,I didn't want to listen to Tom singing.
我不想讓湯姆看見這個。,I don't want Tom to see this.
花了很久才能听懂她在说什么。,It took a long time to take in what she was saying.
这是我第一次来澳大利亚。,This is my first time to visit Australia.
电话响的时候，我在看电视。,"When the phone rang, I was watching TV."
我知道她是西班牙人。,I know that she is Spanish.
情况一天比一天差。,The situation is getting worse and worse day by day.
他買了新衣服給他的女兒。,He bought his daughter a new dress.
我得叫醒汤姆。,I have to wake Tom up.
塞纳河穿越了巴黎。,The Seine flows through Paris.
我只是不想失去你。,I just don't want to lose you.
如果你不想，那你便没有这个必要去告诉汤姆。,You don't have to tell Tom if you don't want to.
你愿意等吗 ?,Do you want to wait?
登月是一項里程碑式的成就。,The moon landing was a monumental achievement.
我很喜欢烛光。,I like candlelight.
汤姆说他不知道要做什么。,Tom says he didn't know what to do.
我們要在一起生活。,We had to live together.
明天你一整天都會在這裡嗎?,Will you all be here tomorrow?
街道上擠滿了人。,The street was crowded with people.
她比你大兩歲。,She is two years older than you.
你遲早會學會怎麼做。,You'll learn how to do it sooner or later.
他在事故後不久就去世了。,He died soon after the accident.
要都解释的话，需要一辈子的时间。,It would take forever for me to explain everything.
她知道如何彈吉他。,She knows how to play the guitar.
来杯咖啡吗？,Do you want a cup of coffee?
助手拿了钱。,The assistant took the money.
没有任何干净的盘子。,There are no clean plates.
试试吧。,Try some.
傳聞不是正確的。,The rumor isn't true.
别忘了我们。,Don't forget us.
我肚子疼。,I have a stomachache.
我發動不了我的拖拉機。,I can't get my tractor started.
你去外面吗？,Are you going outside?
我父親的嗜好是釣魚。,My father's hobby is fishing.
這間房間沒有空間再放一張床了。,There's no space in the room for another bed.
天色已晚。,It was already very late.
这个工作需要不低于300美金。,No less than three hundred dollars was needed for the work.
我不搬去波士顿。,I'm not moving to Boston.
你该上床了。把收音机关了。,It's time you went to bed. Turn off the radio.
我认为我们现在就该谈谈这事。,I think we should talk about this now.
你看起來累了。你該歇息一會兒了。,You look tired. You should rest a little.
报纸上没什么重要的东西。,There's nothing important in the paper.
我不想吃任何東西。,I don't feel like eating anything.
这要花时间。,This may take a while.
我很抱歉误会了您。,I'm sorry I misunderstood you.
我是个老实人。,I am an honest person.
为什么你买了旅行保险？,Why did you buy travel insurance?
我真的不会唱。,I really don't sing.
鹰的一只翅膀断了。,One of the hawk's wings is broken.
請留神看著我的手提箱。,Please keep an eye on my suitcase.
讓我知道你住在哪裡。,Let me know where you're staying.
您想告诉我什么？,What do you want to tell me?
这个你只能用一次。,You can only use it once.
你的母语是什么？,What's your mother tongue?
玛丽穿了一条朴素的白裙子。,Mary wore a simple white dress.
纯真是一件美好的事。,Innocence is a beautiful thing.
你知道她為什麼不能來嗎？,Do you know why she couldn't come?
你要喝咖啡吗？,Would you like some coffee?
他的名字在这个地区人尽皆知。,His name is known to everybody in this area.
把这本书给她。,Give her the book.
我认为你了解我。,I think you understand me.
我打算今天晚上讀書。,I'm planning to study tonight.
我們彼此認識沒有很久。,We haven't known each other long.
如果有问题，请举起你的右手。,"If you have a question, please raise your right hand."
我的胆固醇很高。,My cholesterol is high.
她很安静。,She is quiet.
这所大学是什么时候建的？,When was this university founded?
汤姆嚼铅笔。,Tom chewed on his pencil.
有效期到1997年3月31日为止。,"It's valid until March thirty-first, nineteen-ninety-seven."
这尽够汤姆的。,It's just big enough for Tom.
祝你好運。你會需要它。,Good luck. You'll need it.
我们的饭店比那家饭店好。,Our restaurant is better than that restaurant.
那頓飯簡直好極了。,That meal was simply divine.
已经是11点了。,It's already eleven.
我想汤姆是个蠢材。,I think Tom's an idiot.
他打了网球。,He played tennis.
你家對面的房子是誰的?,Whose house is across from yours?
鸟儿身上铺满了白色的羽毛。,The bird was covered with white feathers.
我明天要去看我叔叔。,I'm seeing my uncle tomorrow.
我的喉嚨裡有一隻青蛙。,I have a frog in my throat.
他向我们提供了帮助。,He offered his help to us.
我迫切需要冷饮。,I am dying for a cold drink.
他提议对教育系统进行改革。,He proposed a reform in the educational system.
我想把它給你看。,I wanted to show it to you.
有件事情我要对你说。,There's something I want to tell you.
这没有结果。,It came to nothing.
我的房間面向花園。,My room faces the garden.
我不常見到他。,I don't meet him so often.
静静的，别动。,Be still.
我有點不安。,I've been feeling a little restless.
你还喜欢我吗？,Do you still like me?
有人認識湯姆嗎？,Does anyone know Tom?
你工作很忙嗎 ?,Are you busy at work?
講清楚並大聲地讓別人聽到你說話。,Speak clearly and make yourself heard.
他就算带了眼镜也看得不很清楚。,"Even with his glasses, he doesn't see very well."
我身上没有钱。,I have no money on me.
不提英语，他还会说德语和法语。,"He knows German and French, not to mention English."
很奇怪，他失败了。,"Strangely enough, he failed."
這本書一點也不有趣。,This book isn't interesting at all.
他喜欢橙子。,He likes oranges.
還早呢。,It's still early.
你很健忘。,You're apt to be forgetful.
Tom不容易被滿足。,Tom is not easily satisfied.
这条路上的车辆不多。,There isn't much traffic on this road.
價格是兩年前的兩倍。,Prices are double what they were two years ago.
她上私人鋼琴課。,She takes private piano lessons.
他設法使收支平衡。,He managed to make both ends meet.
說英語很有趣。,Speaking English is a lot of fun.
你可以進來。,You can come in.
老師要他放學後留在學校。,The teacher made him stay after school.
我正在讀一本關於動物的書。,I'm reading a book about animals.
嘲笑別人是無禮的。,It is rude to laugh at others.
她和我是同學。,She and I are classmates.
她昨天去了醫院。,She went to the hospital yesterday.
湯姆對此不嚴格。,Tom isn't very strict about it.
公共汽车多久发车一次？,How often does the bus run?
好久没有休一个真正的假期了。,It's been a long time since I've had a real vacation.
这把刀很锋利。,This knife is very sharp.
他要了水喝。,He asked for a drink of water.
突然之間，三隻狗出現在我們面前。,"All of a sudden, three dogs appeared in front of us."
我的兄弟和我在一个班级。,My brother and I are in the same class.
他很老。,He was very old.
我想和你一起去。,I want to go with you.
我的位子在哪儿？,Where is my seat?
我坐在他旁边。,I sat by his side.
我再也无法相信任何人了。,I can't believe anyone anymore.
今天很熱，不是嗎?,"It's hot today, isn't it?"
我起了个大早为了赶第一班火车。,I got up early enough to catch the first train.
雄辯如銀，沉默如金。,"Speech is silver, but silence is golden."
大家都玩爱情游戏。,Everybody plays the game of love.
你膽子很大。,You've got a lot of guts.
我的老婆孩子都依靠我。,My wife and children depend on me.
這孩子非常想念他的母親。,The child missed his mother very much.
几分钟后，电话响了。,"Several minutes later, the telephone rang."
汤姆考试时没时间答完所有题。,Tom didn't have enough time to answer all the questions on the test.
我有时间。,I've got time.
Tom，我想和你談談。,"Tom, I want to have a chat with you."
你和我一样高。,You are as tall as I am.
这条裙子你穿着很合身。,The dress fits you very well.
我走58號高速公路。,I took Highway 58.
我什么都不喜欢。,I don't like anything.
你家很容易发现。,Your house was easy to find.
您经常来这儿吗？,Do you come here often?
我不是笨蛋。,I'm not stupid.
当我看到这张图片的时候总是哭。,I always cry when I see this picture.
鬱金香很快將盛開。,Tulips will bloom soon.
工作怎么样？,How's everything at work?
我怕牙醫。,I'm afraid of dentists.
为什么你不吃蔬菜？,Why don't you eat vegetables?
让我来给你举个例子吧。,Let me give you an example.
汤姆说玛丽喜欢驾车。,Tom said that Mary likes driving.
軍人必須履行他們的命令。,Soldiers must carry out their orders.
你會困惑。,You'll be confused.
访客通常在进入一户日本人家之前会被要求脱鞋。,Visitors are usually asked to remove their shoes before they enter a Japanese house.
我刚跟主管人谈过。,I just talked to the person in charge.
我的朋友不打網球。,My friends don't play tennis.
他喜欢数学，但我不喜欢。,"He likes mathematics, but I don't."
她獨自度過了週末。,She spent the weekend by herself.
祝你圣诞节快乐。,I wish you a Merry Christmas.
瑪麗要求她的兒子守規矩。,Mary asked her son to behave himself.
我喜欢蓝色。,I like blue.
許多衛星繞著土星運行。,Many moons orbit around Saturn.
因为风暴，他们晚到了。,They arrived late because of the storm.
夏天过得怎么样？,How was your summer?
洪水涌到了窗户的高度。,The flood water reached the level of the windows.
到目前为止，你认为你阅读过多少书籍？,"Up to now, how many books do you think you've read?"
她看起来很年轻。,She looks young.
沒有她的幫忙我也能做。,I can do it without her help.
我彈鋼琴為她伴奏。,I accompanied her on the piano.
他可能迷路了。,He may have lost his way.
她以为我是大夫。,She thought that I was a doctor.
聖誕節很快就到了，對嗎？,"Christmas is soon, right?"
我的相簿在這裡。,My album is here.
我好累啊。,I'm so tired!
她是喂我們的狗的人。,She is the one who feeds our dog.
我们想学一些日文歌曲。,We want to learn some Japanese songs.
他以优异的成绩毕业于剑桥大学。,He graduated from Cambridge with honors.
“你什么时候回来呀？”“看一下天气怎么样再说啦。”,"""When will you be back?"" ""It all depends on the weather."""
把包包看好。,Keep an eye on the bags.
我們應該盡力幫助他人。,We should always try to help others.
汤姆对每个人都很友好。,Tom is friendly to everyone.
幾乎是櫻花綻放的時候了。,It's almost time for the cherry blossoms.
我们必须遵守规则。,We must conform to the rules.
你會記帳嗎?,Can you do bookkeeping?
你不如跟我一起來。,You may as well come with me.
我給你帶了一個。,I've got one for you.
我拜訪了我祖母的房子。,I visited my grandmother's house.
天气预报一点也不可靠。,The weather forecast is not reliable at all.
我可沒有那閒空。,I don't have that kind of time.
他是聪明能干的人。,He was an intelligent and practical man.
我正在算有多少人在那裡。,I'm counting how many people there are.
这个梯子是否足够坚固以承受我的重量？,Is this ladder strong enough to bear my weight?
汤姆一定会来阻止我。,Tom will try and stop me for sure.
汤姆说他不喜欢他的新工作。,Tom said that he didn't like his new job.
我会带酒来。,I'll bring wine.
她在行走。,She is walking.
我把她當成是我自己的女兒一樣對待。,I treated her as my own daughter.
把你的外套掛在鉤子上。,Hang your coat on the hook.
我們沒麵包了。,We don't have any more bread.
我很抱歉給你添麻煩了。,I'm sorry to trouble you.
她每天都打网球。,She plays tennis every day.
千万别误会我的意思。,Please don't misunderstand me.
這裡的食物不是很好。,The food isn't very good here.
我纳闷我为什么不该那样做。,I wonder why I shouldn't do that.
如果真的是朋友的话，是不会说这样的话的吧。,A true friend would not say such a thing.
我在冬天出生。,I was born in the winter.
湯姆說他認為他該學法語。,Tom said he thought that he should study French.
你現在可以住口了。,You can shut up now.
后门开着。,The rear gate was open.
我整夜都能听到狗叫。,I could hear dogs barking all night.
為什麼我們不一起吃午飯呢？,Why don't we have lunch together?
我在哪儿都没找到他。,I can't find him anywhere.
我觉得当汤姆发现他买来的画是赝品的时候，他会很生气。,I think that Tom is going to be pretty mad when he finds out that the painting he bought is a fake.
小心脚下。,Watch your step.
如果你需要铅笔，我借你一支。,"If you want a pencil, I'll lend you one."
我父亲很穷并不让我觉得丢脸。,I'm not ashamed of my father being poor.
在哪儿我能找到牙膏？,Where can I find toothpaste?
請不要說得那麼快。,Please don't speak so fast.
現實點吧。,Let's be realistic.
她一定還只是二十幾歲。,She must still be in her twenties.
湯姆知道瑪麗想讓他跟自己去波士頓。,Tom knew that Mary wanted him to go to Boston with her.
你可以握住我的手。,You can hold my hand.
聽我說，好嗎？,"Listen to me, OK?"
讓我們吃壽司吧。,Let's eat sushi.
她和她母親去購物。,She went shopping with her mother.
真奇怪。,How strange!
湯姆知道瑪麗想做甚麼。,Tom knew what Mary intended to do.
你累了嗎?,Do you feel tired?
我知道站在那裡的那個男孩。,I know the boy standing over there.
這堵牆長三十碼。,The wall is thirty yards long.
他以前住在这儿。,He used to live here.
我是网球俱乐部的会员。,I belong to a tennis club.
足球是所有体育运动中最受欢迎的。,Soccer is the most popular of all sports.
他终于弄清楚怎么搞定这事了。,He finally found out how to make it.
钟还没响。,The bell hasn't rung yet.
谁能说清不同点？,Who can tell the difference?
學校在山丘頂上。,The school is on top of the hill.
當我到的時候，她已經走了。,She had already gone when I arrived.
请关门。,"Shut the door, please."
起初，他不會說英語。,"At first, he could not speak English at all."
請你再說一次好嗎？,Would you mind saying that once more?
我想知道哪一條路是最短的。,I wonder which way is the shortest.
我想去你要去的地方。,I want to go wherever you're going.
我想要点钱。,I want a little money.
我想请你参加派对。,I'd like to invite you to the party.
你是學生。,You are a student.
我們為她舉辦了一個歡迎會。,We had a welcome party for her.
他想到了一個解決的好辦法。,He thought of a good solution.
汤姆和朋友们打了整个下午篮球。,Tom and his friends played basketball all afternoon.
人生中有許多不可解的事物。,There are many mysteries in life.
您是老师，还是学生？,Are you a teacher or a student?
我今天在東京。,I am in Tokyo today.
也許明天會下雨。,Perhaps it will rain tomorrow.
她十幾歲時就結婚了。,She got married in her teens.
汤姆瞎了。,Tom is blind.
湯姆對我友好。,Tom is friendly to me.
我学习的时候不要打扰我。,Don't distract me while I am studying.
你想拿多少桃子就拿多少。,Take as many peaches as you like.
停火。,Don't shoot.
她穿着白色的衣服。,She is dressed in white.
我們應該去哪裡？,Where should we go?
早餐时间在七点到九点。,Breakfast is from seven to nine.
电脑可以做极为复杂的工作。,Computers are capable of doing extremely complicated work.
我信鬼神之说。,I believe in ghosts.
吸烟有害健康。,Smoking affects your health.
科学家们还没有找到癌症的治疗方法。,Scientists haven't found a cure for cancer yet.
你为什么不读这杂志呢？,Why didn't you read the magazine?
你用我的袋子做了什麼？,What have you done with my bag?
我抓到他偷相機。,I caught him stealing the camera.
你是说你放弃了吗？,Are you saying that you give up?
你真信吗？,Do you actually believe that?
你什么时候离开？,What time will you leave?
我们去不去那儿由你来决定。,It is up to you to decide whether we will go there or not.
他用一個＂不＂回答了我的問題。,"He answered my question with a ""no."""
不要擔心我。,Don't worry about me.
我無法想像沒有你的生活。,I can't imagine life without you.
他們明天舉行婚禮。,Their wedding is tomorrow.
他们住在出租屋里。,They live in a rented house.
我不太能嚼東西。,I have difficulty chewing.
你必须马上开始。,You must start immediately.
这本字典包含了约4万个词条。,"This dictionary has about 40,000 entries."
我希望我在聚會上沒說過那話。,I wish I hadn't said that at the party.
這玩具是用木頭做的。,This toy is made of wood.
他娶了一個漂亮的女孩。,He married a pretty girl.
我讨厌学习。,I hate studying.
我不能让自己做这样的事。,I can't bring myself to do such a thing.
他可能會不高興。,He might not be happy.
我不在意在六点钟起床。,I don't mind getting up at six.
你不能在這附近停車。,You can't park around here.
請把這個桶子裝滿水。,Please fill this bucket with water.
這個男人被警察拘留了。,The man was held in police custody.
你真沒用。,You're really useless.
我們是個家庭。,We're a family.
事故耽誤了交通。,The accident held up traffic.
把你听到的告诉汤姆。,Tell Tom what you heard.
我从来没感觉那么好过。,I've never felt better.
在服務台另外預約。,Make another appointment at the front desk.
汤姆不知道玛丽说的是真话还是假话。,Tom doesn't know whether Mary is telling the truth or not.
我是不会系领带的。,I won't be wearing a tie.
我不需要任何東西。,I don't need anything.
"很大, 不是嗎?","Large, isn't it?"
我知道你還是想我的。,I know you still miss me.
他開卡車到達拉斯。,He drove the truck to Dallas.
我可以吃这个吗?,Can I eat this?
隨你喜歡隨便吃。,Help yourself to whatever you like.
我知道，要相信这件事很难。,I know it's difficult to believe.
服了你了。,You're the boss.
汤姆脑子好使。,Tom has a good head on his shoulders.
她戴著一頂帽子。,She is wearing a hat.
我永远不会离开您的。,I'll never leave you.
我打網球了。,I played tennis.
我沒告訴湯姆要做甚麼。,I didn't tell Tom what needed to be done.
她有很多钱。,She has a lot of money.
请你不要说这个。,Please don't say that.
你們為什麼想殺我？,Why do you want to kill me?
你以前可以從這裡看到教堂。,You used to be able to see the church from here.
这只狗看上去饿了。,The dog looks hungry.
知足常乐。,Happy is the man who is contented.
她說他很英俊。,She said that he was handsome.
我還沒有找到工作。,I still haven't found work.
我們需要學法語。,We needed to learn French.
它很好玩。,It was a lot of fun.
“你去日本干嘛？”“去东京参加一个会议。”,"""Why are you going to Japan?"" ""To attend a conference in Tokyo."""
警察找到指纹了吗？,Did the police find any fingerprints?
他們在他們的溫室裡種植草莓。,They grow strawberries in their greenhouse.
每次听到这首歌，都会让我回忆起自己年轻的时候。,"Whenever I hear that song, I remember my youth."
这是全新的。,It's brand new.
他在银行里有大量钱财。,He has a lot of money in the bank.
Tom正在找其他人代替Mary。,Tom is looking for someone to take Mary's place.
汤姆不喜欢波士顿。,Tom doesn't like Boston.
以我之见，我无话可说。,"As for me, I have nothing to say."
我是个老实人。,I'm an honest person.
她看來病得严重。,She seems to be very ill.
他擦去了脸上的汗水。,He wiped the sweat off his face.
我们越老，记忆力就越差。,"The older we become, the worse our memory gets."
不论我做什么，她都说我能做得更好。,"No matter what I do, she says I can do better."
我的鉛筆掉了。,I have lost my pencil.
谁都可以参加。,Anyone can join.
你想成为什么？,What do you want to be?
你要喝點咖啡嗎?,Would you like to have some coffee?
你不该违背你的诺言。,You shouldn't break promises.
我让她等了一分钟。,I asked her to wait a minute.
這隻狐狸和這隻熊一起生活了。,The fox and the bear lived together.
我常常能分辨出来一个人是不是瞒着我什么事情。,I can usually tell when someone is hiding something from me.
令我非常伤心的是她考砸了。,She failed the examination and I was greatly disappointed.
我想要本书。,I want a book.
由你來決定。,It's up to you.
看起来不错。,It looks good.
我今天有輕微的頭痛。,I have a slight headache today.
他冒着失去所有财产的危险。,He risked losing all his fortune.
我一天刷兩次牙。,I brush my teeth twice a day.
我女儿想要一只小猫。,My daughter wants a kitten.
让我们马上讨论这个问题吧。,Let's discuss the matter right now.
我們都希望和平。,We all hope for peace.
你说今晚改变一下，去外面吃晚饭怎么样？,How about eating out this evening for a change?
你要我做什麼?,What do you want me to do?
他跑得能有多快就有多快。,He ran as fast as he could.
你有照相机吗？,Do you have a camera?
太阳从东边升起，西边落下。,The sun rises in the east and sets in the west.
猫看着鱼。,The cat is looking at the fish.
"這不便宜, 是嗎?","This wasn't cheap, was it?"
喔！你提到一個重點了。,You have a point there.
他們的蘋果沒有我們的好。,Their apples aren't as good as our apples.
你是安全的。,You're safe.
我可能犯了個錯。,I might make a mistake.
我把襪子穿破了。,I've worn holes in my socks.
狗和猫你更喜欢哪一个？,"Which do you like better, dogs or cats?"
他為自己的孩子能做的都做了。,He did everything he could for his child.
我將要在這裡待幾天。,I'm going to stay here for a couple of days.
你的姓怎么读？,How do you pronounce your last name?
"如果我們應該少聽多說話, 那麼我們應該得到兩個嘴巴一隻耳朵才是。","If we were supposed to talk more than listen, we would have been given two mouths and one ear."
你应该带护照去银行。,You should bring your passport to the bank.
这不是我的初衷。,That wasn't what I intended.
让我们回家吧。,Let us go home.
很抱歉，我们不能接受你的要求。,We are sorry we are unable to accept your request.
他自杀了。,He committed suicide.
晚会很成功。,The party was a success.
她多停留了五天。,She extended her stay by five days.
最好的減肥方法就是少吃多運動。,The best way to lose weight is to eat less and exercise more.
我们只有茶水。,We only have tea.
這不是很流行。,This is not very stylish.
我被抢劫了。,I've been robbed.
我们应该告诉孩子怎么保护自己。,We should tell children how to protect themselves.
我有太多話想和你說，以至於不知從何說起。,There are so many things to tell you that I don't know where to start.
琵琶湖是日本最大的湖。,Lake Biwa is the largest lake in Japan.
人會因為體溫而在紅外線攝影機上顯現。,People show up bright on an infrared camera because of their body heat.
全世界有超过4000多种的语言。,"There are more than 4,000 languages in the world."
請再讀一次。,"Read it once more, please."
我想讓湯姆進監獄。,I want Tom put in prison.
