src,trg
你的學校離你家很遠嗎?,Is your school far away from your house?
为什么它应该要变得不一样？,Why should it be different?
我們不必參加那場會議。,We don't need to attend that meeting.
严禁吸烟。,Smoking is strictly prohibited.
学校8点半开始上课。,School begins at eight-thirty.
這輛公車客滿了。,The bus was filled to capacity.
我们可以帮汤姆。,We can help Tom.
他把所有的牆壁漆成了綠色。,He painted all the walls green.
我請他在這裡等。,I asked him to wait here.
我們捐血來幫助這個孩子。,We gave blood to help the child.
當你過馬路的時候要當心汽車。,Watch out for cars when you cross the street.
他误认为我是一个英国人。,He took me for an Englishman.
我不記得寄過信了。,I don't remember mailing the letter.
我头痛。,My head aches.
說英語不容易。,It is not easy to speak English.
20个以上九折特惠。,"For quantities of 20 or more, we can allow you a special discount of 10% on the prices quoted."
我不常見到他。,I don't meet him so often.
你的牙齦流血嗎？,Do your gums bleed?
難講喔。,It's hard to say.
有人会开车吗？,Is there someone that can drive?
我昨天喝多了,I drank too much yesterday.
我吃得很飽。,My stomach's full.
又开始下雨了。,It's started raining again.
你確定你沒有忘記什麼嗎？,Are you sure you haven't forgotten anything?
湯姆是告訴我們問題的人。,Tom was the one that told us about the problem.
我儿子在刷牙。,My son is brushing his teeth.
过去汤姆没有家。,Tom didn't have any family.
他强调都市生活的便利方面。,He stressed the convenient aspects of city life.
你一定是开玩笑！,You must be joking!
我的手錶昨天被偷了。,I had my watch stolen yesterday.
你想再喝些啤酒嗎？,Would you like some more beer?
你為甚麼不鎖門？,Why didn't you lock the door?
你的狗非常胖。,Your dog is very fat.
我除了聽從他之外什麼也不能做。,I can't do anything but obey him.
他走出了房間。,He went out of the room.
大部分美國人支持這項決定。,Most Americans supported the decision.
人人生来平等。,All men are created equal.
秘书的职位已经有人了吗？,Has that secretarial position been filled?
不用麻烦了。,Don't bother.
希望我是第一个祝贺的人。,May I be the first to offer my congratulations.
他剛請假走了。,He's just gone on leave.
我想我找到答案了。,I think I've found the answer.
Tom的房子有三個房間。,Tom's house has three rooms.
我在回家路上，湯姆。,"I'm coming home, Tom."
你收到了我发的邮件了吗？,Did you get my letter?
这是什么意思？,What does it mean?
物理是我最喜歡的科目。,Physics is my favorite subject.
我第一次知道这个网站。,This is the first time I've heard of this website.
写字台下是一只苹果。,There is an apple under the desk.
他把球踢進了球門。,He kicked the ball into the goal.
这里现在有了许多新建筑。,There are a lot of new buildings here now.
汤姆没明白老师说了什么。,Tom didn't understand what the teacher said.
我寫了一封信給我的母親。,I wrote a letter to my mother.
汤姆不知道今天是期限。,Tom didn't know that the deadline was today.
汤姆现在住在波士顿。,Tom currently resides in Boston.
他是一个生物学家。,He's a biologist.
你正確地刷牙嗎？,Are you brushing your teeth properly?
汤姆每天喝啤酒。,Tom drinks beer every day.
学生们表演哈姆雷特。,The students performed Hamlet.
我不那么在意。,I don't care all that much.
今天有人缺席嗎？,Is anyone absent today?
别伤心。,Don't be sad.
我們所有的老師都很年輕並且喜愛教學。,All our teachers were young and loved teaching.
你喜歡坐飛機嗎？,Do you like flying?
這台汽車是誰的?,Whose car is this?
他可能错过了火车。,Perhaps he missed the train.
我现在能走了吗？,May I leave now?
躺着不动。,Lie still.
我们现在就去医院吧。,Let's go to the hospital now.
他后悔在校时没用功读书。,He regrets not having worked harder at school.
明早八点车站见。,Let's meet at the station at eight tomorrow morning.
我们走的时候下着雨，到的时候有太阳。,"It was raining when we left, but by the time we arrived, it was sunny."
我們很遺憾無法幫助他們。,We were very sorry we couldn't help them.
我讨厌姜味。,I hate the taste of ginger.
給我一個橙子。,Give me an orange.
你把我的头发剪得太短了。,You've cut my hair too short.
我想知道她去哪儿了。,I want to know where she went.
我看了看周圍。,I took a look around.
这件事他铭记于心。,The incident was etched in his memory.
若我是隱形的，就不用穿衣服了。,If I were invisible I wouldn't have to dress myself.
我認為你想吃的是比薩。,I thought pizza was what you wanted to eat.
我相信爱情。,I believe in love.
把水裝滿桶子。,Fill the bucket with water.
他出名了。,He became famous.
根本就没实施过逮捕行动。,No arrests were ever made.
请为这位女士叫辆出租车。,Please call a taxi for this lady.
你怎麼樣？,How about you?
连小孩儿都会做。,Even a child could do it.
我會在這兒等著直到她來。,I'll wait here until she comes.
明天肯定会下雨。,"Evidently, it's going to rain tomorrow."
那个护士人很好，又有礼貌。,That nurse is very kind and polite.
汤姆不会游泳。,Tom couldn't swim.
請留神看著我的手提箱。,Please keep an eye on my suitcase.
她也喜欢巧克力。,"She likes chocolate, too."
我问汤姆为什么他昨天没在这里,I asked Tom why he wasn't here yesterday.
汤姆不是一个好选手。,Tom isn't a great player.
没有咖啡剩下来。,There's no coffee left.
她经常来这个国家。,She's a frequent visitor to this country.
地球是一個行星。,Earth is a planet.
她等了你兩個小時。,She waited for you for two hours.
坦率地说，他错了。,"Frankly speaking, he is wrong."
这鸟你们用英语怎么称呼？,What do you call this bird in English?
這個班只有三個女生。,There are only three girls in the class.
我去和朋友喝了杯啤酒。,I went to drink a beer with friends.
她說她感冒了。,She said she had a cold.
你在说我吗？,Are you referring to me?
轮到你回答问题了。,It's your turn to answer the question.
这个水坝给我们提供水和电。,This dam supplies us with water and electricity.
这是一个愚蠢的问题。,That's a dumb question.
我唱歌很好听。,I'm good at singing.
工作怎么样？,How's work?
你觉得汤姆有多大？,How old do you think Tom is?
我們需要盡早談論那件事。,We need to talk about that as soon as possible.
我什麼人都沒看見。,I didn't see anyone.
我想談談你的情況。,I'd like to talk about your situation.
我很滿意我的工作。,I'm satisfied with my work.
汤姆不是傻瓜。,Tom isn't an idiot.
請給我看看這件綠色的襯衫。,Please show me the green shirt.
留着你的钱吧，我不想要它。,Keep your money. I don't want it.
医生给他的病人开了一些药。,The physician prescribed his patient some medicine.
一百年称为一个世纪。,One hundred years is called a century.
你會穿這件和服嗎？,Will you put on this kimono?
这里只卖女鞋。,They only sell women's shoes here.
他让他的妻子补好衬衫。,He got his wife to mend his shirt.
没有什么是不劳而获的。,You cannot achieve anything without effort.
你把钥匙给汤姆了吗？,Have you given Tom the key?
你确定你要去那儿吗？,Are you sure that you want to go there?
你可以想象在月球上行走吗？,Can you imagine walking on the moon?
要一起吃午餐吗？,Would you like to eat lunch together?
我们联系上他们已经为时已晚。,We were unable to make contact with them until it was too late.
睡过头不是迟到的理由。,Over-sleeping is no excuse for being late.
我想知道他们在哪里。,I want to know where they are.
數學對我來說是一個容易的科目。,Mathematics is an easy subject for me.
請告訴我下一步去哪裡。,Please tell me where to go next.
請給我送一塊毯子。,Please give me a blanket.
谁负责销售部门？,Who's in charge of the sales section?
老师按照身高给孩子们排队。,The teacher lined the children up in order of height.
如果你不想，那你便没有这个必要去告诉汤姆。,You don't have to tell Tom if you don't want to.
我完全不赞成你的意见。,I do not agree with you at all.
我在回家的路上遇見了他。,I met him on my way home.
在美國的人說什麼語言?,What language is spoken in America?
我的城市离首都五十千米。,My city is fifty kilometres from the capital.
这些天我会抽一天来看你的。,I'll come and see you one of these days.
你工作很忙嗎 ?,Are you busy at work?
我找不到我的手提箱。,I can't find my suitcase.
你會派人去請醫生來嗎?,Will you send for a doctor?
我想请你参加派对。,I'd like to invite you to the party.
我的爱好是阅读。,My hobby is reading.
請告訴我你的問題。,Please tell me about your problem.
汤姆一坐下就开始吃东西。,"As soon as Tom sat down, he started eating."
"有好的開始, 工作就完成了一半。",Well begun is half done.
他們住在河對面。,They live across the river.
天气预报说会下三英寸雪。,The weather report says we'll get three inches of snow.
他是个非常浪漫的男友，每晚都给我带花。,He's a very romantic boyfriend who brings me flowers each night.
她想洗脏衣服。,She wanted to wash the dirty clothes.
湯姆還喜歡爵士樂嗎？,Does Tom still like jazz?
没人给我们机会。,Nobody gave us a chance.
海豚是一種哺乳動物。,A dolphin is a kind of mammal.
你能告诉我一点关于汤姆的事吗？,Would you please tell me a little about Tom?
我忘记在信封上贴邮票了。,I forgot to stick a stamp on the envelope.
你真是个努力的工人。,You're really a hard worker.
你相信有鬼魂吗？,Do you believe there are ghosts?
我们缺氧时就会打哈欠。,We yawn when we are short of oxygen.
汤姆载玛丽去波士顿。,Tom gave Mary a ride to Boston.
她對他小聲說了些什麼。,She whispered something to him.
我親眼看見了。,I've seen it with my own eyes.
这是我第一次来澳大利亚。,This is my first time to visit Australia.
你犯了跟上次相同的錯誤。,You made the same mistake as last time.
我不太確定我們是否能夠滿足你的要求。,I'm not quite sure if we can meet your requirements.
我需要用药来镇痛。,I need some medicine to kill the pain.
她的父親是一位優秀的鋼琴家。,Her father is an excellent pianist.
您必须马上行动。,It is imperative for you to act at once.
他不情愿地同意了我的提案。,He reluctantly agreed to my proposal.
我不知道她是什么时候结婚的。,I don't know when she got married.
他是非不分。,He has no sense of right and wrong.
猴子爬上了树。,The monkey climbed up the tree.
他们根据情报采取行动。,They acted on the information.
汤姆住在波士顿已经一年多了。,Tom has lived in Boston for over a year.
他刚到。,He just arrived.
你為什麼需要它？,Why do you need it?
汤姆对结果不满。,Tom is unsatisfied with the result.
你法语说得好吗？,Are you good at speaking French?
天色漆黑。,It's pitch black.
她一天一天地好轉。,She is getting better day by day.
你喜欢什么样的食物？,What type of food do you like?
她穿那件紅色的衣服很好看。,That red dress looks good on her.
這是真實的世界。,This is the real world.
当他咆哮时，他脖子上青筋暴起。,"When he shouted, the veins in his neck stood out clearly."
汤姆让我告诉你他没有计划和你一起去波士顿。,Tom asked me to tell you he didn't plan on going to Boston with you.
我向他的妹妹借了這個漫畫。,I borrowed this comic from his sister.
他研究了十年。,He studied for ten years.
湯姆是對數學感興趣。,Tom is interested in mathematics.
我感觉还不是那么饿。,I'm not feeling that hungry yet.
我的右眼瞎了。,I'm blind in the right eye.
他的故事聽起來是真的。,His story sounds true.
有些人说日本是个男性统治的社会。,Some people say Japan is a male-dominated society.
你喜歡打排球嗎？,Do you like playing volleyball?
我开始不喜欢她了。,I'm starting to dislike her.
他想得到一本新的字典。,He wants to get a new dictionary.
铁是个有用的金属。,Iron is a useful metal.
“他明天去游泳吗？” “没错”,"""Is he going to swim tomorrow?"" ""Yes, he is."""
他做了一個書架給她。,He made her a bookshelf.
那你是怎么做的？,What did you do then?
他的性情古怪。,He's a strange character.
我的生日就快到了。,It's my birthday soon.
我希望那會發生。,I'm hoping that that'll happen.
继续听。,Keep listening.
我得找一份兼職工作。,I have to find a part-time job.
上床睡觉之前请关灯。,Please turn off the light before you go to bed.
他想要减少进口品的税。,He wanted to reduce the tax on imports.
他欺骗了她。,He swindled her.
老師讓這個男孩回家。,The teacher let the boy go home.
不要忘記簽上你的名字。,Don't forget to sign your name.
礼轻情意重。,It's the thought that counts.
自由非常非常重要。,"Freedom is very, very important."
我怀疑汤姆是不是真的想和玛丽一起去澳大利亚。,I wonder if Tom really wanted to go to Australia with Mary.
他們獨自在圖書館裡。,They were alone in the library.
你有時候真走運。,Sometimes you get lucky.
能不能请你重复一下？,Could you please repeat that?
麻煩您那樣做。,Please do that.
汤姆承认他那晚是在那里。,Tom has admitted he was there that night.
湯姆騎摩托車上班。,Tom goes to work by motorcycle.
对我来说这就不是个问题。,"For me, this is not a problem."
我们已是成年人了。,We're adults.
我们能信任他们吗？,Can we trust them?
他比镇里的其他人都有钱。,He is richer than anyone else in this town.
他承认有罪。,He confessed that he was guilty.
我們一起去野餐了。,We went on a picnic together.
她慢慢地走，這樣她就不會滑倒了。,She walked slowly so she wouldn't slip.
沒有什麼事曾讓他憤怒。,Nothing ever makes him angry.
分秒必争。,Every minute counts.
年轻人应该尊敬老人。,The young should respect the old.
汤姆希望玛丽别死。,Tom hoped that Mary wouldn't die.
您吃了什麼樣的膳食？,What kind of meal did you eat?
對湯姆來說一切都開始錯得離譜。,Everything is going horribly wrong for Tom.
我爱我的妻子。,I love my wife.
我不觉得她像她妈妈。,I don't think that she looks like her mother.
历史课九点开始。,The history class starts at nine.
我今天可能見不到湯姆了。,I might not see Tom today.
这些鞋子太紧了，伤脚。,These shoes are too tight. They hurt.
汤姆会在那里，不是么？,"Tom will be there, won't he?"
湯姆的書比瑪麗的還多。,Tom has more books than Mary.
游过这条河要多久？,How long would it take to swim across the river?
雨斷斷續續地下了一整天。,It rained on and off all day.
我喜歡聽音樂，特別是爵士音樂。,"I like to listen to music, especially jazz."
这张桌子很重。,This table is heavy.
她充分利用她住在伦敦的优势，提高英语。,She took full advantage of her stay in London to improve her English.
你應該為你沒有及時回家吃晚餐向你父親道歉。,You should apologize to your father for not getting home in time for dinner.
法语课怎么样？,How was the French class?
試圖勸她是沒有用的。,It's no use trying to persuade her.
没有什么落下的吧？,Did you forget anything?
还剩一点水。,There's some water left.
“等他回来，我要让他给你打电话吗？”“是的，谢谢。”,"""Shall I have him call you when he gets back?"" ""Yes, please."""
我知道他来自哪里。,I know where he comes from.
那是他家。,That is his house.
他选每个词都深思熟虑。,He chose every word with care.
我全天在家讀小說。,I stayed home all day long reading novels.
我希望你更加努力地工作。,I want you to work harder.
你真想搬去波士頓？,Do you really want to move to Boston?
汤姆不干了。,Tom quit.
我救了你一命。,I saved your life.
我們也幫助他們。,We helped them as well.
請給我靠走道的位子。,"I'd like an aisle seat, please."
天氣暖和。,It was a warm day.
我很快乐。,I'm very happy.
他对吗？,Is he correct?
我不想讓湯姆自己做。,I don't want Tom to do that alone.
你会去哈佛大学吗？,Will you go to Harvard?
汤姆拿了玛丽给他的音乐会票。,Tom took the concert ticket Mary offered him.
这封信寄错地方了。,This letter is wrongly addressed.
下雨使我无法出门。,The rain prevented me from going out.
那本書我從頭到尾看完了。,I read the book from cover to cover.
你應該參加這個會議的。,You should have attended the meeting.
汤姆是个拉比。,Tom is a rabbi.
汤姆坐在玛丽旁边。,Tom sat beside Mary.
我下錯了車站。,I got off at the wrong station.
狼嚇到了我。,Wolves scare me.
图书馆位于城市中心。,The library is in the middle of the city.
我們決定要保持沉默。,We've decided to remain silent.
我需要找個地方練舞。,I need to find somewhere to practice dancing.
我该上床了。,I have to go to bed.
我搭了計程車到車站。,I took a cab to the station.
我認為我們應該能去我們想去的地方。,I think we should be able to go wherever we want to.
我该取消通话吗?,Should I cancel the call?
把想法付諸實踐是困難的。,Putting ideas into practice is difficult.
说谎不好。,Lying is wrong.
只是從他旁邊走過去我就覺得害怕。,I get scared just walking past him.
其实我工作并不多，但足以让我这周在办公室里忙着了。,"I don't have a lot of work, but it's enough to keep me in the office this week."
從清晨開始一直下雨。,It's been raining since early morning.
立刻走，否則你會遲到。,"Go at once, otherwise you will be late."
算你狠。,You win.
你能稍微告诉我关于自己的事情吗？,Can you tell me a little about yourself?
我没把我的车卖给汤姆。,I didn't sell Tom my car.
你能等一下嗎？,Can you hold on a second?
我想更改我的預訂。,I'd like to change my reservation.
时间比什么都宝贵。,Time is more precious than anything else.
你可以跟我來。,You can come with me.
要想成功只需要无知和自信。,All you need is ignorance and confidence and the success is sure.
他下週日將打高爾夫球。,He will play golf next Sunday.
她有一颗纯洁的心。,She has a pure heart.
不要逐字逐句的把英文翻譯成日文。,Don't translate English into Japanese word for word.
他游泳比我好。,He swims better than I do.
給我一瓶葡萄酒。,Give me a bottle of wine.
他怕蛇。,He is afraid of snakes.
湯姆在十月被解雇了。,Tom was fired in October.
请把它传真给我。,Please send it to me by fax.
我留在希尔顿宾馆。,I'm staying at the Hilton Hotel.
現在不可能出去。,It's impossible to go out now.
你唱歌像天使。,You sing like an angel.
醒醒吧。,Get real.
他們想要更多。,They want more.
停火。,Don't shoot.
Tom告诉我他们有想要娶你的想法。,Tom told me that he has no intention of marrying you.
这本课本很好。,This is a good textbook.
汤姆和玛丽都没有发现什么有价值的东西。,Neither Tom nor Mary has found anything valuable.
我一点都不知道这会给你带来那么多问题。,I had no idea it would put you to so much trouble.
她離不開她的車。,She cannot do without her car.
醫生建議他多做運動。,The doctor advised him to do more exercise.
关闭电视机,Turn off the TV.
你做什麼？,What are you doing?
我已经尽力了。,I've done my best.
我想吃點好吃的。,I want to eat something delicious.
许多人夏天在这里游泳。,A lot of people swim here in the summer.
他是最高的男生。,He is the tallest boy.
去買三瓶可樂。,Go and buy three bottles of coke.
我從來沒有見過他。,I've never met him.
非常感謝你所做的一切。,Thank you very much for everything.
那個東西有多熱？,How hot is that?
湯姆打算回來。,Tom plans to return.
她在超市做秘书。,She is a clerk in the supermarket.
带我回家。,Take me home.
你為甚麼不跟他講？,Why don't you talk to him?
你把東西交給誰了?,Who did you give that to?
他应该40岁左右吧。,He must be about forty.
我有個朋友的父親是知名的作家。,I have a friend whose father is a famous writer.
汤姆不再给我写信了。,Tom doesn't write to me anymore.
湯姆現在在銀行上班。,Tom works in a bank now.
我记得第一次。,I remember the first time.
我搭地铁上学。,I go to school by subway.
你知道那是你的责任。,You know that's your duty.
牙齿卡了点东西。,You've got something stuck in your teeth.
湯姆和我互相很了解。,Tom and I know each other quite well.
不许大叫。,Don't shout.
我那么想念她。,I miss her so much.
人无法长生不死。,Man cannot live forever.
我喜欢这些东西。,I like these.
你明天要來嗎？,Are you going to come tomorrow?
汤姆是一名教授，不是吗？,"Tom is a professor, isn't he?"
他否認曾寫信給我。,He denied having written to me.
覆水難收。,What is done cannot be undone.
样本不够纯净。,The sample isn't pure enough.
我希望雨會停。,I wish it would stop raining.
保存在陰涼的地方。,Keep it in a cool place.
你應該把大衣穿上。,You should put your coat on.
那不太好。,That wasn't very good.
把球传给我。,Roll the ball to me.
这是一家好医院。,This is a good hospital.
趴着！,Stay down!
她每天都打网球。,She plays tennis every day.
我們的圖書館在三樓。,Our library is on the third floor.
他經常出國洽商。,He often goes abroad on business.
我不喜欢她说话的态度。,I don't like the way she speaks.
我正在用一台新电脑。,I'm using a new computer.
遵守法律是我們的義務。,It's our duty to obey the law.
這張沙發占了太多空間。,This sofa takes up too much space.
我不习惯喝无糖咖啡。,I am not used to drinking coffee without sugar.
我幾乎能確定。,I'm almost sure of it.
他吃了一盒巧克力。,He ate a box of chocolates.
玛丽不是真病。她只是装病。,Mary isn't really sick. She's only pretending to be sick.
你該讓湯姆知道瑪麗要去做。,You ought to let Tom know Mary is going to do that.
他也許明天能來。,He may be able to come tomorrow.
这条规则不是任何情况下都奏效的。,This rule doesn't apply to every case.
汤姆说了他什么也没看到。,Tom said he didn't see anything.
只凭长相的话很难区分英国人和美国人。,It's hard to tell Englishmen from Americans just by the way they look.
你看起来就像湯姆。,You look just like Tom.
大部份的國家都教英語。,English is taught in most countries.
昨天我買了這個。,I bought this yesterday.
你共住一个房间吗？,Do you share a room?
湯姆想見瑪麗。,Tom wanted to see Mary.
他有一個大家庭。,He has a large family.
是該離開的時候了。,It's time to go.
哪里有电话机？,Is there a telephone anywhere?
这是我的自行车。,This is my bicycle.
看起来我们是在一条船上。,It seems we are in the same boat.
我帶孩子們去上學。,I took the children to school.
請把這個桶子裝滿水。,Please fill this bucket with water.
"當他進來的時候, 我正在寫信。",I was writing a letter when he came.
這個湖裡有很多魚。,There are many fish in this lake.
我需要更多空間。,I need more room.
汤姆是个好朋友。,Tom is a good friend.
这里已经两周没下雨了。,There has been no rain here for the past two weeks.
他每个月挣多少？,How much money does he make a month?
她的英文成績很好。,She got good grades in English.
他们四十分钟之后下课。,They'll get out of class in forty minutes.
你确定你和汤姆有足够的水吗？,Are you sure you and Tom have enough water?
不要担心过去。,Don't worry about the past.
她能遊得比我遠。,She can swim further than I can.
他们一个接着一个地离开了。,They left one after another.
你好嗎，湯姆？,"How are you, Tom?"
让您等了很久，我很抱歉。,I'm sorry that I've kept you waiting so long.
她給了我一本的書作為聖誕禮物。,She gave me a book for Christmas.
上海的人口数量和东京相当。,The population of Shanghai is as large as that of Tokyo.
我觉得汤姆有可能会来。,I think it's possible that Tom may come.
可能我就該告訴湯姆真相。,Maybe I should just tell Tom the truth.
如果你不抓紧的话，你就会赶不上火车。,"If you don't hurry, you'll miss the train."
解决问题最简便的方法往往是最好的办法。,The simplest solutions are always the best.
我們在跟時間鬥爭。,We're fighting against time.
来迟了吗？,Is it too late?
我有那么多衣服，以至于我不知道明天穿什么了。,I have so many clothes I don't know what to wear tomorrow.
别留着一半工作没干。,Don't leave your work half finished.
抱歉，火車站在哪裡？,"Excuse me, where is the train station?"
我擅長滑雪。,I'm good at skiing.
湯姆年紀比我大。,Tom is older than me.
我继续阅读。,I went on reading.
有時從辦公室回家的路上他會到這家書店看一看。,Every now and then he drops in at this bookstore on his way home from the office.
你长大了。,You've grown up.
有時我會跟她打網球。,I sometimes play tennis with her.
請明天前還書。,Please return the book by tomorrow.
我想你听说今天早上发生什么了。,I guess you heard about what happened this morning.
我對食物不是很講究。,I'm not very particular about food.
你的袜子好臭。,Your socks stink.
警察會把你關在牢裡。,The police will put you behind bars.
你需要做好准备。,You need to get ready.
這裡有一本書。,There's a book here.
你做了个坏榜样。,You've set a bad example.
我明天要離開去加拿大。,I'm leaving for Canada tomorrow.
刚刚发生了什么？,What just happened?
请在那个拐角左转。,Turn left at the corner.
我不是你們的媽媽。,I'm not your mother.
报纸看完后借我看下。,Let me read the paper when you have finished with it.
很多公司實行8小時工作制。,Lots of companies have implemented an eight-hour working day.
在这种情况下，他们该做什么？,What should they do in this situation?
我真喜欢阅读。,I really like to read.
玛丽处理了膝盖的伤口。,Mary treated her wounded knee.
Tom可以跑得很快。,Tom can run fast.
我什么都知道。,I know everything.
你没发烧。,You have no fever.
既要马好，又要马不吃草。,You can't have your cake and eat it too.
“看啊！” 她说道。,"""Look,"" she said."
我不知道現在幾點鐘。,I don't know what time it is.
我的妹妹有時為我們做晚餐。,My sister sometimes makes our dinner.
我想成为日语老师。,I want to become a teacher of Japanese.
你能走嗎？,Can you walk?
银行星期六不营业。,The bank is not open on Saturdays.
木质房屋很容易着火。,A wooden building can easily catch fire.
你可以使用這輛車。,You can use this car.
我的嗜好就是彈鋼琴。,My hobby is playing the piano.
每一個認識他的人都愛慕他。,Everyone who knew him admired him.
他开始害怕了。,He began to feel afraid.
谢谢您的迅速回复。,Thanks for your quick answer.
汤姆说他打扫屋子打扫了一天。,Tom said that he had been cleaning the house all day.
汤姆让我们知道他需要做。,Tom let us know that he needs do that.
您必须排队。,You have to wait in line.
那只是你的想象。,It's just your imagination.
對你的電腦吼一點幫助也沒有。,Shouting at your computer will not help.
這家電影院擠滿了人。,The movie theater was filled with people.
我希望汤姆能明白。,I hope Tom will understand.
Tom并不觉得抱歉。,Tom was not apologetic.
我的摩托車是新的。,My motorcycle is new.
下雨了。,It is raining.
她和我是同學。,She and I are classmates.
给汤姆打过电话了吗？,Did you call Tom?
我为什么一定要那么做？,Why do I have to do that?
我要去购物。你要跟着来吗？,I'm going to run a couple of errands. Wanna tag along?
我不想要這個。,I didn't want this.
我不需要粉刷圍牆。,I didn't need to paint the fence.
我對他的勇氣感到驚訝。,I was amazed at his courage.
他们一直闹笑话。,They were always making jokes.
我們住在美國。,We live in the United States.
他和他的儿子放风筝了。,He flew a kite with his son.
你的鞋在这儿。,Your shoes are here.
请写信告诉我你们学校的情况。,Please write to me about conditions at your school.
你会需要一个特殊的工具来做这件事。,You'll need a special tool to do it.
他沒有提到她的請求。,He made no mention of her request.
我有的書是你的三倍。,I have three times as many books as you do.
腾一下地方。,Move over.
我更想繼續坐著。,I prefer to remain seated.
這裡沒有人會背叛你。,No one here will betray you.
没盐了。,There's no salt left.
據說老房子鬧鬼。,They say that old house is haunted.
我纳闷我为什么不该那样做。,I wonder why I shouldn't do that.
你的问题没有答案。,Your question has no answer.
那不夠好嗎？,Isn't that good enough?
我們很遺憾無法幫助他們。,We were very sorry that we couldn't help them.
友好点。,Be kind.
记住汤姆的建议。,Remember Tom's advice.
我真的不会唱。,I really don't sing.
她指責我犯了錯。,She accused me of making a mistake.
你一般几点下班？,When do you usually get off work?
如果一個人在成人前沒有機會習得目標語言，他對該語言的認識達到母語者程度的機會是相當小的。,"If a person has not had a chance to acquire his target language by the time he's an adult, he's unlikely to be able to reach native speaker level in that language."
游艇绕浮标航行。,The yacht sailed around a buoy.
你知道是什麼原因嗎？,Do you know the reason?
我需要回答所有問題嗎？,Do I have to answer all of the questions?
你不能來真是太糟糕了。,It's too bad that you couldn't come.
你很會做菜，不是嗎?,"You are a good cook, aren't you?"
你想吃什么？,What do you want to eat?
有些事我必須說。,There's something I have to say.
它是给容易上当受骗的人的。,That's for suckers.
我没有别的问题了。,I don't have any other questions.
不要害怕犯錯。,Never be afraid of making mistakes.
她迷上了视频。,She was absorbed in the video.
國王濫用權力。,The king abused his power.
绵羊提供我們羊毛。,Sheep provide us with wool.
我还是一个小男孩的时候就住在这里。,I've lived here since I was a boy.
這信是湯姆寫的。,The letter was written by Tom.
你才是自己命运的主人。,You're the master of your own destiny.
原谅我早上这么早给你打电话。,Please excuse me for calling you so early in the morning.
早饭在何时何地用？,When and where is breakfast served?
他去过夏威夷几次。,He has been to Hawaii several times.
我没有吃饭的时间。,I had no time to eat.
我同意他。,I agree with him.
太阳升起来了。,The sun is rising.
试试这个。,Try this.
那家公司在广告上花了很多钱。,The company spends a lot of money on advertising.
他邀请我去他家。,He invited me to his house.
汤姆快该走了。,It's almost time for Tom to go.
我接受了报价。,I accepted the offer.
您最喜欢哪个季节？,What season do you like the best?
法律不應受到侵犯。,The law should not be violated.
美国有50个州。,There are fifty states in the United States.
是的，當然。,"Yes, of course."
做你認為正確的事。,Do whatever you think is right.
没有什么比游泳更让我开心。,There's nothing I like more than swimming.
汤姆承认他杀死了玛丽。,Tom admitted that he murdered Mary.
汤姆从玛丽那里拿走了锤子。,Tom took the hammer away from Mary.
這本書的作者是誰?,Who is the author of this book?
瑪麗悄悄地關上了門。,Mary closed the door quietly.
你可以向他求助。,You can ask him for help.
我寧願搭飛機旅行。,I prefer to travel by air.
我身上帶著很多錢。,I have plenty of money with me.
她希望成為一名設計師。,She wants to be a designer.
我没生病。,I'm not sick.
公共汽车多久发车一次？,How often does the bus run?
这不是我所擅长的事。,It isn't something I'm very good at.
我想我今晚會洗澡。,I think I'll take a bath tonight.
他不遺餘力幫助我。,He spared no pains to help me.
她找到了一份打字員的工作。,She found a job as a typist.
你们这些家伙真不懂事。,You guys are totally clueless.
我希望他很快就能好起来。,I hope he'll get better soon.
我不感兴趣。,I'm not interested.
覆水難收。,What's done can't be undone.
这并不让我惊讶。,It doesn't surprise me.
現在出去玩吧。,Go outside and play now.
这房子不出售。,This house isn't for sale.
他从口袋中拿出了什么。,He took something out of his pocket.
我确实同意你的想法。,I actually agree with you.
钱币的价值取决于所使用的金属的重量。,The value of the coins depended on the weight of the metal used.
面包不新鲜。,The bread isn't fresh.
我凭韧性克服了困难。,I got over the difficulty with my characteristic tenacity.
除了水果，他什么都没吃。,"Apart from some fruit, he hasn't eaten anything."
我可以獨自做。,I can do it by myself.
这是棵很高的树。,This is a very tall tree.
水在升高。,The water is rising.
过马路时请小心。,Please be careful when crossing the street.
不好意思，请问我可以开窗吗？,"Excuse me, but may I open the window?"
我再也不要汤姆留下来。,I don't want Tom to stay any longer.
那條河是危險的。,That river is dangerous.
你们准备参加会议吗？,Are you planning to take part in the meeting?
您会开车吗？,Do you know how to drive?
碰過酒的嘴唇就別想碰我的唇。,Lips that touch liquor shall not touch mine.
他的低薪水让他买不了房。,His low salary prevents him from buying the house.
你的職業是什麼?,What do you do?
她寄给我一封信。,She sent me a letter.
你應該把你的車修好。,You should get your car fixed.
这顶帽子多少钱？,What is the price of this cap?
你们一般几点下班？,What time does your office let you go home?
你有外套和帽子嗎？,Do you have a coat and a hat?
喝醉的驾驶员对车祸有责任。,A drunk driver was responsible for the car accident.
巧克力含有比菠菜更多的鐵質。,Chocolate has more iron than spinach.
請在名單上加上我的名字。,Please add my name to the list.
我在我的工作上需要一些幫助。,I need some help with my work.
汤姆应该用别的方式处理这状况。,Tom should have handled the situation differently.
我身体不适。,I'm not feeling well.
